MoveEvent(x=1756, y=243, time=1719664952.3489926)
MoveEvent(x=1756, y=242, time=1719664952.3489926)
MoveEvent(x=1755, y=241, time=1719664952.3489926)
MoveEvent(x=1755, y=238, time=1719664952.351353)
MoveEvent(x=1755, y=237, time=1719664952.351353)
MoveEvent(x=1755, y=236, time=1719664952.355013)
MoveEvent(x=1755, y=235, time=1719664952.355013)
MoveEvent(x=1753, y=234, time=1719664952.356149)
MoveEvent(x=1753, y=233, time=1719664952.3573284)
MoveEvent(x=1753, y=231, time=1719664952.3586059)
MoveEvent(x=1752, y=230, time=1719664952.3591123)
MoveEvent(x=1752, y=229, time=1719664952.3591123)
MoveEvent(x=1751, y=228, time=1719664952.3591123)
MoveEvent(x=1750, y=227, time=1719664952.3626945)
MoveEvent(x=1750, y=226, time=1719664952.3626945)
MoveEvent(x=1750, y=225, time=1719664952.3626945)
MoveEvent(x=1749, y=224, time=1719664952.3667529)
MoveEvent(x=1749, y=222, time=1719664952.3667529)
MoveEvent(x=1748, y=221, time=1719664952.3693652)
MoveEvent(x=1747, y=219, time=1719664952.371729)
MoveEvent(x=1745, y=218, time=1719664952.371729)
MoveEvent(x=1745, y=216, time=1719664952.3749595)
MoveEvent(x=1744, y=215, time=1719664952.3749595)
MoveEvent(x=1743, y=214, time=1719664952.3773656)
MoveEvent(x=1743, y=213, time=1719664952.3789175)
MoveEvent(x=1742, y=212, time=1719664952.3789175)
MoveEvent(x=1741, y=212, time=1719664952.380812)
MoveEvent(x=1740, y=211, time=1719664952.380812)
MoveEvent(x=1740, y=210, time=1719664952.380812)
MoveEvent(x=1739, y=209, time=1719664952.383334)
MoveEvent(x=1737, y=207, time=1719664952.383334)
MoveEvent(x=1736, y=207, time=1719664952.383334)
MoveEvent(x=1735, y=206, time=1719664952.3869212)
MoveEvent(x=1734, y=204, time=1719664952.3869212)
MoveEvent(x=1733, y=203, time=1719664952.3889284)
MoveEvent(x=1732, y=201, time=1719664952.3889284)
MoveEvent(x=1730, y=200, time=1719664952.3889284)
MoveEvent(x=1729, y=199, time=1719664952.3911948)
MoveEvent(x=1727, y=198, time=1719664952.3929334)
MoveEvent(x=1726, y=197, time=1719664952.3929334)
MoveEvent(x=1725, y=197, time=1719664952.3929334)
MoveEvent(x=1723, y=196, time=1719664952.3955002)
MoveEvent(x=1721, y=194, time=1719664952.3955002)
MoveEvent(x=1720, y=193, time=1719664952.3955002)
MoveEvent(x=1717, y=192, time=1719664952.3955002)
MoveEvent(x=1716, y=191, time=1719664952.3992326)
MoveEvent(x=1714, y=190, time=1719664952.3992326)
MoveEvent(x=1711, y=188, time=1719664952.3992326)
MoveEvent(x=1710, y=188, time=1719664952.3992326)
MoveEvent(x=1709, y=187, time=1719664952.4032495)
MoveEvent(x=1708, y=186, time=1719664952.4032495)
MoveEvent(x=1705, y=185, time=1719664952.4032495)
